"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
0,9.99697292650089,0.695,0.002,0,"First_trimester","TTR",6.92790223806512
0,5.34156120132454,0.672,0.027,0,"First_trimester","HBG1",3.44530697485433
0,5.42051194689155,0.659,0.027,0,"First_trimester","HBA2",3.42576355043546
0,4.33116056257783,0.863,0.087,0,"First_trimester","HBG2",3.3609805965604
0,5.47954586205082,0.557,0.02,0,"First_trimester","HBA1",2.94251612792129
0,3.83648334234709,0.643,0.062,0,"First_trimester","NDST4",2.22899682190366
0,5.73299028355084,0.358,0.009,0,"First_trimester","LEF1",2.00081360895924
0,4.99185858510652,0.34,0.013,0,"First_trimester","HBB",1.63233775732983
0,3.12124929590862,0.625,0.109,0,"First_trimester","HMGA2",1.61056463668885
0,2.50497225536118,0.83,0.208,0,"First_trimester","VIM",1.55809274283466
0,2.97336528249214,0.585,0.096,0,"First_trimester","HMGB2",1.45397562313866
0,2.62378500355902,0.699,0.165,0,"First_trimester","DACH1",1.40110119190052
0,2.96895520978964,0.546,0.093,0,"First_trimester","HIST1H1D",1.34493671003471
0,2.72481292332176,0.613,0.123,0,"First_trimester","HIST1H1C",1.33515833242766
0,2.75739960669585,0.589,0.106,0,"First_trimester","ZNF536",1.3318240100341
0,5.33752186308787,0.251,0.009,0,"First_trimester","SV2C",1.29168029086726
0,3.46906974269515,0.4,0.048,0,"First_trimester","LIN28B",1.22111254942869
0,3.24856659035325,0.423,0.054,0,"First_trimester","HIST1H1B",1.19872107184035
0,2.91501500899043,0.484,0.074,0,"First_trimester","HES1",1.19515615368607
0,3.261636567569,0.415,0.056,0,"First_trimester","TCF7L1",1.17092752775727
0,3.35272370527848,0.377,0.043,0,"First_trimester","HIST1H3B",1.11980971756301
0,2.44963619885359,0.571,0.128,0,"First_trimester","ID4",1.08518883609214
0,2.64215663837159,0.491,0.097,0,"First_trimester","SOX2",1.0410097155184
0,2.41105855184707,0.523,0.116,0,"First_trimester","COL4A5",0.981300830601757
0,3.05497675039795,0.367,0.052,0,"First_trimester","ZFP36L1",0.962317676375355
0,1.85382634520797,0.879,0.378,0,"First_trimester","HIST1H4C",0.928766998949195
0,2.53832360791461,0.464,0.099,0,"First_trimester","MIR924HG",0.926488116888833
0,3.11777696315512,0.34,0.045,0,"First_trimester","PCLAF",0.919744204130761
0,2.74540886290911,0.406,0.073,0,"First_trimester","EMX2",0.914221151348733
0,2.1256833080584,0.643,0.214,0,"First_trimester","PARD3",0.911918139157053
0,2.80136347547575,0.386,0.061,0,"First_trimester","TOP2A",0.910443129529618
0,2.3253622251774,0.519,0.132,0,"First_trimester","HIST1H1E",0.899915181143652
0,3.28386806663903,0.308,0.041,0,"First_trimester","HMGA2-AS1",0.876792773792621
0,6.18225926063756,0.144,0.003,0,"First_trimester","EBF2",0.871698555749896
0,1.95454270569833,0.622,0.177,0,"First_trimester","PARD3B",0.869771504035756
0,2.65154542539159,0.414,0.089,0,"First_trimester","HS6ST2",0.861752263252268
0,2.23355110862386,0.52,0.135,0,"First_trimester","SFRP1",0.859917176820186
0,1.93108228658592,0.631,0.186,0,"First_trimester","GLI3",0.859331617530734
0,3.25668422605694,0.297,0.039,0,"First_trimester","HIST1H1A",0.840224530322691
0,2.69183769840102,0.384,0.074,0,"First_trimester","PCNA",0.834469686504315
0,1.79867509581515,0.781,0.324,0,"First_trimester","H2AFZ",0.821994518787523
0,2.6499690773097,0.381,0.073,0,"First_trimester","HIST2H2AC",0.816190475811387
0,1.70464343131635,0.752,0.277,0,"First_trimester","CHD7",0.809705629875267
0,2.41122573553932,0.429,0.094,0,"First_trimester","IGF2BP1",0.807760621405672
0,3.20772394243642,0.284,0.035,0,"First_trimester","HIST1H3D",0.798723261666669
0,1.76973359473351,0.732,0.291,0,"First_trimester","NPAS3",0.78045251527748
0,4.16104690677231,0.202,0.015,0,"First_trimester","LIX1",0.778115771566421
0,2.0229310219511,0.591,0.218,0,"First_trimester","CREB5",0.754553271187761
0,1.80945005720841,0.707,0.29,0,"First_trimester","HMGN2",0.754540673855906
0,3.91898198222862,0.203,0.016,0,"First_trimester","DDIT4",0.732849630676752
0,3.39817547613171,0.24,0.027,0,"First_trimester","UBE2C",0.723811376416053
0,2.5738844110724,0.349,0.07,0,"First_trimester","PLAG1",0.718113750689198
0,2.24514986486729,0.438,0.12,0,"First_trimester","LDHA",0.7139576570278
0,2.91030116121407,0.289,0.045,0,"First_trimester","MYO3A",0.710113483336233
0,1.92259452646935,0.577,0.218,0,"First_trimester","ZFPM2-AS1",0.690211435002495
0,2.35972244075561,0.4,0.108,0,"First_trimester","TTYH1",0.689038952700639
0,3.02968213862231,0.262,0.036,0,"First_trimester","PTTG1",0.684708163328641
0,2.4809356546552,0.346,0.071,0,"First_trimester","COL4A6",0.68225730503018
0,1.76341748026958,0.631,0.248,0,"First_trimester","RAN",0.675388894943248
0,2.26931680445463,0.381,0.088,0,"First_trimester","BRIP1",0.664909823705206
0,3.29011169527491,0.23,0.03,0,"First_trimester","HEY1",0.658022339054982
0,2.23988682010801,0.388,0.095,0,"First_trimester","HSPA1B",0.656286838291648
0,1.91710400086298,0.53,0.195,0,"First_trimester","NFIA-AS2",0.642229840289097
0,2.31813630755708,0.362,0.086,0,"First_trimester","GPC4",0.639805620885753
0,2.32778814585322,0.356,0.082,0,"First_trimester","PHLDA1",0.637813951963783
0,2.00846110156063,0.446,0.131,0,"First_trimester","ST18",0.632665246991599
0,5.44828750571174,0.118,0.003,0,"First_trimester","HBZ",0.62655306315685
0,1.87584501551467,0.515,0.185,0,"First_trimester","ENO1",0.61902885511984
0,2.01503779803789,0.458,0.151,0,"First_trimester","H1F0",0.618616603997631
0,2.07584216002634,0.402,0.104,0,"First_trimester","PAX6",0.61860096368785
0,2.27710068423942,0.358,0.088,0,"First_trimester","ZNF521",0.614817184744643
0,2.86465421956075,0.256,0.042,0,"First_trimester","CKS2",0.613036002986001
0,1.48945443257985,0.698,0.289,0,"First_trimester","ZEB1",0.609186862925158
0,1.84182673267542,0.513,0.183,0,"First_trimester","EEF1D",0.60780282178289
0,1.58214544418196,0.712,0.328,0,"First_trimester","NPM1",0.607543850565874
0,2.20834852397248,0.357,0.085,0,"First_trimester","YAP1",0.600670798520515
0,1.60044522453172,0.631,0.256,0,"First_trimester","FBXL7",0.600166959199396
0,1.5696534053466,0.635,0.253,0,"First_trimester","AC099792.1",0.599607600842403
0,2.37629084179353,0.321,0.07,0,"First_trimester","NUSAP1",0.596449001290175
0,3.45512918260967,0.192,0.02,0,"First_trimester","HIST1H3G",0.594282219408863
0,2.85119455493083,0.249,0.041,0,"First_trimester","CDH23",0.593048467425612
0,2.19566432559799,0.358,0.088,0,"First_trimester","CENPK",0.592829367911458
0,2.22936087944569,0.361,0.096,0,"First_trimester","MASP1",0.590780633053109
0,2.41528457074188,0.302,0.059,0,"First_trimester","HSPB1",0.586914150690276
0,1.42130698538105,0.88,0.468,0,"First_trimester","GAPDH",0.585578477976991
0,5.51672406753648,0.11,0.004,0,"First_trimester","EBF1",0.584772751158867
0,2.5636597593553,0.284,0.056,0,"First_trimester","ANP32E",0.584514425133008
0,2.02423253179099,0.407,0.12,0,"First_trimester","HSPA1A",0.580954736624013
0,1.59011446318046,0.654,0.292,0,"First_trimester","CNTLN",0.575621435671326
0,1.4727549548448,0.801,0.413,0,"First_trimester","CKB",0.571428922479783
0,1.5043139842529,0.797,0.418,0,"First_trimester","ZFPM2",0.570135000031848
0,3.51147676022994,0.18,0.018,0,"First_trimester","HIST1H2AH",0.56885923515725
0,1.95095890459083,0.419,0.128,0,"First_trimester","DIAPH3",0.567729041235931
0,2.68350482838318,0.256,0.045,0,"First_trimester","FAT1",0.566219518788851
