"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
0,4.7506588487536,0.831,0.045,0,"Radial glia","PDGFD",3.73401785512033
0,4.04160910236854,0.898,0.079,0,"Radial glia","LTBP1",3.31007785483983
0,3.73931403422841,0.979,0.122,0,"Radial glia","GLI3",3.20459212733375
0,3.80080690085399,0.925,0.088,0,"Radial glia","DACH1",3.18127537601479
0,3.8688323023077,0.907,0.099,0,"Radial glia","CREB5",3.12601650026462
0,5.58566740522213,0.574,0.018,0,"Radial glia","HES1",3.1056310773035
0,4.71108753368654,0.686,0.038,0,"Radial glia","EEPD1",3.05278472182888
0,4.95367800437297,0.64,0.027,0,"Radial glia","PLPP3",3.03660461668063
0,3.51844237719016,0.983,0.13,0,"Radial glia","SOX6",3.0012313477432
0,3.64323413786628,0.918,0.108,0,"Radial glia","PARD3B",2.95101965167169
0,4.22184704244902,0.748,0.061,0,"Radial glia","SAMD4A",2.90040891816248
0,3.98238728663347,0.765,0.055,0,"Radial glia","COL4A5",2.82749497350976
0,5.84316627032846,0.487,0.012,0,"Radial glia","TNC",2.77550397840602
0,3.48545689737574,0.916,0.122,0,"Radial glia","SLC1A3",2.76745277651634
0,3.39200748842142,0.99,0.179,0,"Radial glia","NPAS3",2.75091807310977
0,5.21318525297882,0.544,0.019,0,"Radial glia","LIPG",2.73692225781388
0,3.39284247652547,0.903,0.127,0,"Radial glia","COL11A1",2.63284576178376
0,4.53715436474805,0.592,0.032,0,"Radial glia","ANKFN1",2.54080644425891
0,4.40321798493608,0.599,0.033,0,"Radial glia","YAP1",2.49222137947382
0,4.53240380979583,0.555,0.03,0,"Radial glia","ITGA2",2.37951200014281
0,3.46499553846368,0.794,0.109,0,"Radial glia","AC131571.1",2.37352194384762
0,3.95648578477062,0.65,0.051,0,"Radial glia","NOTCH2",2.3699349850776
0,5.51276723779871,0.443,0.014,0,"Radial glia","DEC1",2.36497714501565
0,4.08859610471654,0.607,0.045,0,"Radial glia","SOX2",2.2977910108507
0,5.64852117330775,0.415,0.011,0,"Radial glia","SLCO1C1",2.28200255401633
0,3.0704320337182,0.941,0.2,0,"Radial glia","SHROOM3",2.27519013698519
0,3.13396034097214,0.851,0.129,0,"Radial glia","PARD3",2.26271936618188
0,4.16317114889133,0.579,0.039,0,"Radial glia","PON2",2.24811242040132
0,2.96848551036253,0.993,0.238,0,"Radial glia","LINC01965",2.24120656032371
0,3.73201932301053,0.664,0.064,0,"Radial glia","MOXD1",2.23921159380632
0,4.71535290397248,0.502,0.028,0,"Radial glia","SEMA5A",2.23507727648296
0,2.87472367870472,0.965,0.204,0,"Radial glia","FBXL7",2.18766471949429
0,3.67948246349711,0.667,0.077,0,"Radial glia","ID4",2.17089465346329
0,4.22521773672637,0.539,0.031,0,"Radial glia","LINC01515",2.14641061025699
0,3.48103935747972,0.69,0.08,0,"Radial glia","BOC",2.12343400806263
0,3.80364692540717,0.584,0.046,0,"Radial glia","STK3",2.04636204586906
0,3.39090507221328,0.674,0.075,0,"Radial glia","IQGAP2",2.03115213825576
0,3.67436378911394,0.614,0.067,0,"Radial glia","TMEM132D",2.00987699264533
0,3.3273839437331,0.684,0.093,0,"Radial glia","SFRP1",1.96648391074626
0,2.62192310273483,0.927,0.187,0,"Radial glia","ZFHX4",1.94022309602377
0,2.80048019730585,0.837,0.154,0,"Radial glia","PLCE1",1.9127279747599
0,6.21166642505891,0.304,0.005,0,"Radial glia","ATP1A2",1.85728826109261
0,3.33867567944469,0.626,0.074,0,"Radial glia","MEGF10",1.84294897505347
0,4.04109257612925,0.482,0.032,0,"Radial glia","COL4A6",1.81849165925816
0,5.00180593570303,0.372,0.014,0,"Radial glia","ZFP36L1",1.79064652498169
0,4.88262190156809,0.382,0.016,0,"Radial glia","LAMA3",1.78703961597392
0,3.26592102940451,0.593,0.069,0,"Radial glia","PRDM16",1.71134261940796
0,3.30443054162585,0.578,0.064,0,"Radial glia","PAX6",1.69847729839569
0,3.27637377637274,0.588,0.07,0,"Radial glia","CDH20",1.69716161616108
0,3.54886984541127,0.528,0.05,0,"Radial glia","MIR924HG",1.69635978610659
0,4.2183831938802,0.428,0.031,0,"Radial glia","CCDC175",1.67469812797044
0,4.13848053455698,0.436,0.032,0,"Radial glia","CLU",1.67194613596102
0,2.77682599810897,0.777,0.176,0,"Radial glia","VIM",1.66887242486349
0,2.42545327216289,0.931,0.243,0,"Radial glia","PTPRM",1.66871185124807
0,3.40881557570647,0.542,0.061,0,"Radial glia","FSTL1",1.63964029191481
0,3.10715845159566,0.616,0.092,0,"Radial glia","MOB3B",1.62815102863613
0,5.38343270614285,0.311,0.01,0,"Radial glia","AP002989.1",1.620413244549
0,4.54997078723944,0.372,0.018,0,"Radial glia","RHOJ",1.61068965868276
0,4.7870437978319,0.342,0.013,0,"Radial glia","BMP7",1.57493740948669
0,4.28871436809058,0.39,0.023,0,"Radial glia","LRP4",1.57395817308924
0,2.47397228133014,0.858,0.222,0,"Radial glia","ELP4",1.57344637092597
0,3.65721896671272,0.469,0.039,0,"Radial glia","STK33",1.57260415568647
0,2.49050968492795,0.82,0.195,0,"Radial glia","MAST4",1.55656855307997
0,3.23241336763476,0.553,0.073,0,"Radial glia","LRIG1",1.55155841646469
0,4.32469588792621,0.376,0.021,0,"Radial glia","SOX1-OT",1.5352670402138
0,5.01080818614893,0.316,0.013,0,"Radial glia","CHST9",1.51827488040313
0,6.09992240470657,0.253,0.005,0,"Radial glia","LINC00943",1.51278075636723
0,4.33231898331241,0.368,0.02,0,"Radial glia","SALL3",1.50764700619272
0,2.3236273889572,0.86,0.216,0,"Radial glia","GULP1",1.49641603848843
0,4.26088133302,0.369,0.022,0,"Radial glia","AC087564.1",1.47852582255794
0,5.29891742147062,0.287,0.008,0,"Radial glia","TCIM",1.4783979605903
0,3.98954054950682,0.397,0.027,0,"Radial glia","LRIG3",1.47613000331752
0,3.30717912151603,0.496,0.053,0,"Radial glia","LAMA1",1.4650803508316
0,3.62130831760914,0.439,0.041,0,"Radial glia","SPATA6",1.44128071040844
0,2.41363912879711,0.938,0.341,0,"Radial glia","PTN",1.44094255989187
0,3.75875195149498,0.416,0.036,0,"Radial glia","HS6ST2",1.42832574156809
0,3.48965984189589,0.452,0.047,0,"Radial glia","GPC4",1.41331223596784
0,2.15536162137608,0.898,0.243,0,"Radial glia","ZEB1",1.41176186200134
0,3.00874920508442,0.547,0.08,0,"Radial glia","GPR156",1.40508587877442
0,2.77517643658901,0.608,0.102,0,"Radial glia","ADAMTS6",1.40423927691404
0,4.1127014016745,0.362,0.023,0,"Radial glia","AC008957.2",1.39420577516766
0,2.52649895820408,0.692,0.144,0,"Radial glia","GAB1",1.38452142909583
