"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
8.05039670974564e-20,2.54241583748778,0.54,0.288,2.9371872395507e-15,"EN-Newborn","AC245060.5",0.64068879104692
1.36461400345274e-12,2.14344022239392,0.46,0.257,4.97879419159732e-08,"EN-Newborn","PLP1",0.435118365145966
2.43998982924097e-08,3.7319355410004,0.115,0.029,0.000890230289198569,"EN-Newborn","AL158154.3",0.320946456526034
4.2436321556446e-16,1.03471715703438,0.726,0.657,1.54828919198693e-11,"EN-Newborn","PDZD2",0.0713954838353719
4.58268864808044e-62,4.36069990150011,0.206,0.023,1.67199395325215e-57,"EN-Immature","NXPH1",0.798008081974519
4.30293020976771e-29,2.15094314556957,0.459,0.193,1.56992408703375e-24,"EN-Immature","ERBB4",0.572150876721507
1.86694655661742e-26,2.05680708088364,0.392,0.145,6.81155451181867e-22,"EN-Immature","SPOCK3",0.50803134897826
4.21201411855073e-25,2.72878889171662,0.211,0.05,1.53675335115323e-20,"EN-Immature","ZNF536",0.439335011566375
1.69769768468851e-18,3.00117008569587,0.206,0.061,6.19405000258601e-14,"EN-Immature","SOX6",0.435169662425902
1.36670980526296e-20,2.52074697307094,0.227,0.066,4.98644072450191e-16,"EN-Immature","FRMD4B",0.405840262664422
1.2642443984851e-24,3.30025685091132,0.129,0.021,4.6125956878729e-20,"EN-Immature","HPGD",0.356427739898422
1.25989151364119e-25,1.17049874807655,0.686,0.403,4.59671418751987e-21,"EN-Immature","ROBO1",0.331251145705664
5.72866516335121e-17,2.21327159016954,0.196,0.057,2.09010348484869e-12,"EN-Immature","ST18",0.307644751033566
8.16864956529992e-15,1.8927707653086,0.268,0.106,2.98033179389967e-10,"EN-Immature","CCBE1",0.306628863979994
2.83534114060656e-11,2.0837826298887,0.201,0.079,1.0344742151503e-06,"EN-Immature","PARD3",0.254221480846422
5.5149225209855e-10,1.59970551266108,0.284,0.146,2.01211948178156e-05,"EN-Immature","ADAMTS9-AS2",0.220759360747229
2.24202177398537e-10,2.07592443716768,0.165,0.06,8.18001644238564e-06,"EN-Immature","LIPC",0.217972065902606
1.05131552112507e-09,1.48107958253555,0.294,0.152,3.83572467882483e-05,"EN-Immature","FGFR2",0.210313300720048
1.72388136521407e-10,2.13401936945168,0.149,0.051,6.28958116098353e-06,"EN-Immature","SYT6",0.209133898206265
5.70243452872295e-15,1.98265222728571,0.134,0.032,2.08053323780457e-10,"EN-Immature","POSTN",0.202230527183143
3.61602070433082e-09,2.16941987963161,0.134,0.046,0.00013193051539751,"EN-Immature","LPAR1",0.190908949407581
3.88567017199834e-08,1.96471785974099,0.16,0.065,0.00141768676225359,"EN-Immature","ARHGAP6",0.186648196675394
2.33169963150012e-08,1.36925091155184,0.294,0.16,0.000850720610552818,"EN-Immature","DOCK10",0.183479622147946
5.34735145359987e-08,1.66845383263079,0.211,0.102,0.00195098117784591,"EN-Immature","PCDH15",0.181861467756756
3.35502651251823e-08,1.69068833690721,0.186,0.082,0.00122408142309227,"EN-Immature","RGS20",0.17583158703835
8.61008190720316e-08,2.04634389833706,0.134,0.051,0.00314138838384307,"EN-Immature","CNTNAP3",0.169846543561976
1.24040618590611e-10,1.35152700665603,0.495,0.37,4.52562196927846e-06,"EN-Immature","QKI",0.168940875832004
2.49380004894993e-07,1.6421132239806,0.155,0.065,0.00909862947859383,"EN-Immature","TRPC6",0.147790190158254
2.37638860481885e-31,2.59763033378021,0.419,0.085,8.67025382468159e-27,"EN-Mature","IL1RAPL2",0.867608531482591
6.56480930152936e-26,2.97673592956644,0.337,0.046,2.39517067366299e-21,"EN-Mature","AC092422.1",0.866230155503833
4.97233793881493e-25,3.05338889958574,0.327,0.046,1.81415749697663e-20,"EN-Mature","AC112770.1",0.858002280783594
6.11591302845037e-16,4.02864501966056,0.194,0.01,2.23139086843012e-11,"EN-Mature","AL109930.1",0.741270683617543
1.10308326392646e-28,2.23524622508029,0.432,0.111,4.0245992884357e-24,"EN-Mature","AC109466.1",0.717514038250775
1.92126263546358e-47,1.44514365463361,0.751,0.293,7.00972672548887e-43,"EN-Mature","TRHDE",0.661875793822192
1.02916423606881e-46,1.50945262947842,0.706,0.274,3.75490571529705e-42,"EN-Mature","RORB",0.652083535934675
5.37118047574176e-39,1.52232590245665,0.638,0.221,1.95967519657438e-34,"EN-Mature","NYAP2",0.634809901324425
1.53158636595208e-39,1.47262556412841,0.658,0.241,5.58799285617615e-35,"EN-Mature","LINC01414",0.614084860241546
3.75871813029874e-22,2.19885085067177,0.347,0.075,1.3713683098395e-17,"EN-Mature","AC008415.1",0.598087431382722
9.18527244522636e-34,1.52986826884222,0.562,0.173,3.35124665164084e-29,"EN-Mature","PARM1",0.595118756579625
4.34946750868476e-20,2.40723894974412,0.326,0.081,1.58690322054363e-15,"EN-Mature","TSHZ2",0.589773542687309
1.62751427062639e-23,1.99915356416304,0.364,0.075,5.93798581638039e-19,"EN-Mature","LINC01202",0.57775538004312
3.80463720451354e-14,3.3893047260919,0.181,0.013,1.38812188406677e-09,"EN-Mature","AL450352.1",0.569403193983439
5.5121246044324e-39,1.27742842280961,0.705,0.267,2.01109866192716e-34,"EN-Mature","STARD4-AS1",0.55951364919061
1.19600384323014e-31,1.39881872661578,0.595,0.208,4.36362002202516e-27,"EN-Mature","RARB",0.541342847200307
1.7546676847182e-18,2.31828002918717,0.292,0.062,6.40190504769437e-14,"EN-Mature","COBLL1",0.533204406713049
3.52138645171754e-12,3.71561540448867,0.149,0.007,1.28477784690914e-07,"EN-Mature","AC073578.2",0.527617387437391
9.99363665315883e-23,1.8191790770803,0.365,0.081,3.646178332905e-18,"EN-Mature","TRHDE-AS1",0.516646857890805
4.61802948030879e-32,1.21830289306225,0.622,0.218,1.68488805589066e-27,"EN-Mature","AC096576.3",0.492194368797148
2.34514962816223e-25,1.50271200132723,0.478,0.156,8.5562784183499e-21,"EN-Mature","AL354771.1",0.483873264427368
1.30812775682018e-27,1.30253062820459,0.507,0.147,4.77270412075844e-23,"EN-Mature","IL1RAP",0.468911026153652
2.14227297998652e-34,1.12026500442822,0.718,0.3,7.81608296748082e-30,"EN-Mature","BEX4",0.468270771850994
2.03519995717146e-26,1.34504005645025,0.53,0.182,7.42542704374006e-22,"EN-Mature","PFKP",0.468073939644689
7.50482666440902e-40,1.04305770559236,0.841,0.397,2.73813600850963e-35,"EN-Mature","CCNI",0.463117621283006
2.03643300946275e-10,3.8580837643954,0.123,0.003,7.42992583502485e-06,"EN-Mature","AL033539.2",0.462970051727448
4.78680546408456e-19,1.86000933932358,0.336,0.088,1.74646597357125e-14,"EN-Mature","AC246817.1",0.461282316152248
3.03177508315643e-18,1.97085096517854,0.302,0.068,1.10614313908962e-13,"EN-Mature","VIPR2",0.461179125851777
1.2344815444251e-17,2.02845944516022,0.274,0.049,4.50400591483496e-13,"EN-Mature","PLCXD3",0.45640337516105
3.83138554326979e-32,1.08949474135764,0.697,0.28,1.39788101546198e-27,"EN-Mature","AC096576.2",0.454319307146135
1.15108596184998e-28,1.27194400243065,0.601,0.244,4.19973713180967e-24,"EN-Mature","HPCA",0.454084008867743
1.01480756505408e-30,1.159731707796,0.642,0.251,3.70252540109982e-26,"EN-Mature","H2AFZ",0.453455097748236
3.38919426430595e-15,2.32081549129636,0.241,0.046,1.23654752733203e-10,"EN-Mature","SLC22A25",0.45255902080279
4.80748233859954e-18,1.91292857308155,0.311,0.075,1.75400993123804e-13,"EN-Mature","FGF12-AS1",0.451451143247247
4.34937976322688e-34,1.0800462831982,0.73,0.316,1.58687120661333e-29,"EN-Mature","HTR2A",0.447139161244055
4.50830312078296e-36,1.01841078213954,0.806,0.368,1.64485439361766e-31,"EN-Mature","ST6GAL2",0.446063922577118
1.06528264586557e-33,1.03110789357967,0.773,0.342,3.88668373344051e-29,"EN-Mature","AC110296.1",0.444407502132836
8.22550102061375e-18,1.83092643959084,0.316,0.081,3.00107404737093e-13,"EN-Mature","HS3ST2",0.430267713303847
4.95398464815768e-28,1.13101710235503,0.584,0.205,1.80746129888033e-23,"EN-Mature","RPE",0.428655481792556
4.02466343320611e-28,1.1458743999344,0.622,0.248,1.46839845360525e-23,"EN-Mature","LINC02217",0.428557025575465
2.97191821741133e-18,1.74669408363169,0.348,0.104,1.08430436162252e-13,"EN-Mature","PAPSS2",0.426193356406132
1.32347304934743e-25,1.28746447406878,0.494,0.163,4.82869142054412e-21,"EN-Mature","ETS2",0.426150740916767
2.86920666262655e-26,1.16495728359847,0.609,0.244,1.0468300508593e-21,"EN-Mature","FOXP2",0.425209408513443
3.40033053302198e-28,1.11673981025953,0.599,0.225,1.24061059497307e-23,"EN-Mature","NFKB1",0.417660689037065
3.51516974430137e-17,1.75817273495312,0.306,0.072,1.28250968120835e-12,"EN-Mature","MSC-AS1",0.41141241997903
2.44321379357871e-22,1.39836345919193,0.432,0.14,8.91406552587191e-18,"EN-Mature","FNBP1L",0.408322130084043
5.92505571789354e-30,1.00561925312468,0.701,0.296,2.16175657867346e-25,"EN-Mature","SCN1A-AS1",0.407275797515495
8.64592764005885e-30,1.01031586690978,0.68,0.277,3.15446669947547e-25,"EN-Mature","TSPAN13",0.40715729436464
2.67316318370058e-17,1.82440156407721,0.272,0.049,9.75303587573157e-13,"EN-Mature","RORB-AS1",0.406841548789219
7.90748462216553e-19,1.60540741843529,0.344,0.091,2.8850457643971e-14,"EN-Mature","GABRA5",0.406168076864128
