"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
0,9.98318659654135,0.695,0.002,0,"First_trimester","TTR",6.91834831140315
0,5.0315879802585,0.863,0.054,0,"First_trimester","HBG2",4.07055467602913
0,6.03930056326092,0.672,0.017,0,"First_trimester","HBG1",3.9557418689359
0,5.83747245443387,0.659,0.023,0,"First_trimester","HBA2",3.71263248101994
0,5.76564363968947,0.557,0.02,0,"First_trimester","HBA1",3.09615063451325
0,4.44614044514832,0.643,0.043,0,"First_trimester","NDST4",2.66768426708899
0,3.18186599881483,0.83,0.132,0,"First_trimester","VIM",2.22094246717275
0,3.79567250992274,0.625,0.07,0,"First_trimester","HMGA2",2.10659824300712
0,5.51924411553615,0.358,0.013,0,"First_trimester","LEF1",1.90413921985997
0,3.61646401609633,0.546,0.062,0,"First_trimester","HIST1H1D",1.75036858379062
0,3.30006038886968,0.613,0.09,0,"First_trimester","HIST1H1C",1.72593158337884
0,3.39693964996821,0.585,0.085,0,"First_trimester","HMGB2",1.69846982498411
0,3.252721482451,0.589,0.079,0,"First_trimester","ZNF536",1.65888795605001
0,2.9607432077625,0.699,0.166,0,"First_trimester","DACH1",1.57807612973741
0,3.95315184660676,0.423,0.033,0,"First_trimester","HIST1H1B",1.54172922017664
0,4.06355383010686,0.377,0.026,0,"First_trimester","HIST1H3B",1.42630739436751
0,3.32899192986063,0.484,0.065,0,"First_trimester","HES1",1.39484761861161
0,3.7335689623963,0.415,0.044,0,"First_trimester","TCF7L1",1.38515408504903
0,3.22903308101092,0.491,0.067,0,"First_trimester","SOX2",1.36911002634863
0,3.03868600082338,0.523,0.078,0,"First_trimester","COL4A5",1.3522152703664
0,2.61450590250908,0.631,0.119,0,"First_trimester","GLI3",1.33862702208465
0,2.87129670764027,0.571,0.108,0,"First_trimester","ID4",1.32941037563745
0,4.17654201362224,0.34,0.028,0,"First_trimester","HBB",1.30308110825014
0,2.32462454932455,0.752,0.192,0,"First_trimester","CHD7",1.30178974762175
0,2.92500241145278,0.52,0.085,0,"First_trimester","SFRP1",1.27237604898196
0,3.15212660980799,0.464,0.072,0,"First_trimester","MIR924HG",1.23563363104473
0,3.50107157345237,0.386,0.038,0,"First_trimester","TOP2A",1.21837290756142
0,2.85427818579839,0.519,0.101,0,"First_trimester","HIST1H1E",1.19308828166373
0,2.44908028509717,0.622,0.142,0,"First_trimester","PARD3B",1.17555853684664
0,3.11732535088337,0.429,0.058,0,"First_trimester","IGF2BP1",1.15652770517773
0,3.73027416796249,0.34,0.031,0,"First_trimester","PCLAF",1.15265471790041
0,2.46606408173699,0.643,0.189,0,"First_trimester","PARD3",1.11959309310859
0,3.1971364141912,0.406,0.059,0,"First_trimester","EMX2",1.10940633572435
0,3.94693599006784,0.308,0.027,0,"First_trimester","HMGA2-AS1",1.10908901320906
0,3.3755945044509,0.367,0.048,0,"First_trimester","ZFP36L1",1.07681464691984
0,2.2509433801293,0.635,0.161,0,"First_trimester","AC099792.1",1.06694716218129
0,3.23882722179736,0.381,0.052,0,"First_trimester","HIST2H2AC",1.06557415597133
0,2.59285804059043,0.53,0.125,0,"First_trimester","NFIA-AS2",1.05010750643912
0,2.07291667069207,0.879,0.38,0,"First_trimester","HIST1H4C",1.03438541867534
0,3.83280004030356,0.297,0.028,0,"First_trimester","HIST1H1A",1.03102321084166
0,2.16118788223437,0.631,0.189,0,"First_trimester","FBXL7",0.955245043947592
0,3.17356982757114,0.346,0.045,0,"First_trimester","COL4A6",0.955244518098913
0,3.6863403385636,0.284,0.028,0,"First_trimester","HIST1H3D",0.94370312667228
0,6.59697053125313,0.144,0.003,0,"First_trimester","EBF2",0.930172844906691
0,3.5545300844022,0.289,0.03,0,"First_trimester","MYO3A",0.92062329186017
0,2.72231660390488,0.402,0.069,0,"First_trimester","PAX6",0.906531429100324
0,4.06168055568427,0.24,0.017,0,"First_trimester","UBE2C",0.905754763917592
0,2.53220354650567,0.446,0.095,0,"First_trimester","ST18",0.88880344482349
0,2.7793596824691,0.381,0.074,0,"First_trimester","BRIP1",0.853263422518012
0,2.06714130659176,0.654,0.242,0,"First_trimester","CNTLN",0.851662218315805
0,2.25194633042572,0.745,0.218,0,"Second_trimester","FRMD4B",1.18677571613435
0,2.0123149705741,0.584,0.222,0,"Second_trimester","SLA",0.728458019347825
0,2.16256242697875,0.455,0.141,0,"Second_trimester","AC020611.2",0.679044602071327
0,2.65837967808279,0.305,0.074,0,"Second_trimester","TG",0.614085705637124
0,3.84221734222842,0.164,0.013,0,"Second_trimester","AC013727.2",0.580174818676492
0,1.61153654807225,0.598,0.252,0,"Second_trimester","NHSL1",0.557591645632999
0,1.44488618512072,0.849,0.503,0,"Second_trimester","SRGAP1",0.499930620051768
0,2.39940266614021,0.288,0.083,0,"Second_trimester","PRKY",0.491877546558743
0,1.69998092206153,0.509,0.229,0,"Second_trimester","MN1",0.475994658177228
0,1.82403292621449,0.447,0.197,0,"Second_trimester","ENO4",0.456008231553622
0,2.71356779660792,0.214,0.052,0,"Second_trimester","AC109129.1",0.439597983050483
0,1.48702994042562,0.563,0.27,0,"Second_trimester","EPS8",0.435699772544707
0,1.6910217958769,0.51,0.255,0,"Second_trimester","SEMA3C",0.43121055794861
0,1.86786118001112,0.379,0.157,0,"Second_trimester","KCNK2",0.414665181962469
0,1.59404118980666,0.552,0.295,0,"Second_trimester","CLMP",0.409668585780312
0,1.23259029898047,0.733,0.404,0,"Second_trimester","SOX11",0.405522208364576
0,1.87143388223534,0.427,0.22,0,"Second_trimester","KIF26B",0.387386813622715
0,1.19459031669633,0.822,0.501,0,"Second_trimester","KIAA1211",0.383463491659522
0,2.94110779933723,0.151,0.035,0,"Second_trimester","AC103409.1",0.341168504723118
0,2.64058288322095,0.172,0.043,0,"Second_trimester","AC068722.1",0.340635191935502
0,1.16794797775167,0.509,0.231,0,"Second_trimester","VCAN",0.324689537814966
0,1.05051624215636,0.831,0.535,0,"Second_trimester","PTPRZ1",0.310952807678282
0,1.24277497476127,0.499,0.249,0,"Second_trimester","USP9Y",0.310693743690319
0,2.45609700323828,0.176,0.05,0,"Second_trimester","SMOC1",0.309468222408023
0,1.29161146520469,0.616,0.382,0,"Second_trimester","IL7",0.302237082857898
0,1.54549633592567,0.413,0.221,0,"Second_trimester","GLRA2",0.296735296497728
0,1.40938960850069,0.377,0.167,0,"Second_trimester","NINL",0.295971817785145
0,2.40474919104882,0.159,0.036,0,"Second_trimester","AC025576.3",0.295784150499005
0,1.23671927983341,0.514,0.275,0,"Second_trimester","AC004158.1",0.295575907880184
0,1.52995757772207,0.408,0.216,0,"Second_trimester","AP003086.1",0.293751854922637
0,1.84411913850824,0.244,0.086,0,"Second_trimester","EPCAM-DT",0.291370823884302
0,1.17722436002014,0.54,0.295,0,"Second_trimester","PELI2",0.288419968204933
0,1.04971331360055,0.867,0.594,0,"Second_trimester","MEIS2",0.28657173461295
0,2.71995462159642,0.137,0.033,0,"Second_trimester","MOXD1",0.282875280646027
0,1.70124581891122,0.258,0.095,0,"Second_trimester","HES6",0.277303068482529
0,1.20966932864036,0.864,0.636,0,"Second_trimester","MIR100HG",0.275804606930003
0,2.41930671943782,0.145,0.031,0,"Second_trimester","IFI44",0.275800966015911
0,1.35775933189636,0.374,0.174,0,"Second_trimester","TGFBR1",0.271551866379273
0,2.2270217087579,0.174,0.053,0,"Second_trimester","CNKSR3",0.269469626759705
0,1.55981913234044,0.342,0.17,0,"Second_trimester","EPB41L4A",0.268288890762556
0,1.97721723403533,0.193,0.058,0,"Second_trimester","VASH2",0.26692432659477
0,1.14189417374452,0.578,0.347,0,"Second_trimester","LINC01572",0.263777554134984
0,1.07168320614386,0.467,0.225,0,"Second_trimester","BCL11B",0.259347335886815
0,1.70393103418111,0.248,0.096,0,"Second_trimester","NBAT1",0.258997517195528
0,1.54822478994918,0.318,0.153,0,"Second_trimester","NKAIN1",0.255457090341615
0,2.3999652493136,0.147,0.041,0,"Second_trimester","AC016746.1",0.254396316427242
0,1.7319554758318,0.231,0.087,0,"Second_trimester","FBN3",0.249401588519779
0,1.46483438835615,0.315,0.146,0,"Second_trimester","FAM107B",0.24755701163219
0,1.86347590222464,0.2,0.069,0,"Second_trimester","ABCA1",0.244115343191428
0,1.07781166654272,0.755,0.532,0,"Second_trimester","CBLB",0.240352001639027
0,2.55376926235108,0.464,0.084,0,"Third_trimester","LPL",0.97043231969341
0,3.3946030596525,0.287,0.034,0,"Third_trimester","GRP",0.858834574092082
0,2.31135407198708,0.43,0.102,0,"Third_trimester","NPNT",0.758124135611761
0,1.53875205387051,0.835,0.347,0,"Third_trimester","KLHL1",0.750911002288808
0,1.58785903833421,0.815,0.346,0,"Third_trimester","LUZP2",0.744705888978745
0,2.29951492560095,0.415,0.1,0,"Third_trimester","LYPD6B",0.724347201564301
0,2.09666484355449,0.449,0.107,0,"Third_trimester","KLHDC8A",0.717059376495635
0,1.61336200123628,0.773,0.335,0,"Third_trimester","TENM1",0.706652556541492
0,1.90742237442182,0.596,0.226,0,"Third_trimester","NPY1R",0.705746278536074
0,1.6220666301042,0.719,0.284,0,"Third_trimester","SCN9A",0.705598984095327
0,1.82461081958436,0.583,0.203,0,"Third_trimester","ACTN2",0.693352111442056
0,1.66575349837008,0.672,0.258,0,"Third_trimester","CCBE1",0.689621948325211
0,1.57902448717127,0.712,0.299,0,"Third_trimester","PTCHD1-AS",0.652137113201736
0,2.34620964252123,0.375,0.101,0,"Third_trimester","LINC01821",0.642861442050817
0,1.97106619220388,0.453,0.138,0,"Third_trimester","RPRM",0.620885850544221
0,1.52918425815703,0.626,0.235,0,"Third_trimester","SLC24A3",0.597911044939397
0,1.95753168633223,0.435,0.134,0,"Third_trimester","AC011474.1",0.589217037586001
0,1.37340210211995,0.748,0.345,0,"Third_trimester","GRM1",0.553481047154341
0,1.13514628119415,0.896,0.421,0,"Third_trimester","XIST",0.53919448356722
0,1.81768003945974,0.44,0.145,0,"Third_trimester","ADAMTS17",0.536215611640622
0,3.38511445777903,0.184,0.027,0,"Third_trimester","LRRIQ3",0.531462969871307
0,1.60229178537734,0.515,0.185,0,"Third_trimester","AC007368.1",0.528756289174521
0,1.48278935049286,0.609,0.253,0,"Third_trimester","ANO3",0.527873008775457
0,1.39208832020655,0.791,0.413,0,"Third_trimester","PPFIBP1",0.526209385038075
0,1.89356894709642,0.402,0.127,0,"Third_trimester","ABI3BP",0.520731460451515
0,2.78512633976267,0.223,0.039,0,"Third_trimester","DCDC2C",0.512463246516332
0,1.26366326359353,0.88,0.48,0,"Third_trimester","SYN3",0.505465305437412
0,3.09723359093978,0.187,0.025,0,"Third_trimester","POSTN",0.501751841732245
0,3.37209739482636,0.167,0.019,0,"Third_trimester","GREM1",0.499070414434301
0,1.49291146017486,0.57,0.246,0,"Third_trimester","KLHL4",0.483703313096655
0,1.86674502811552,0.373,0.114,0,"Third_trimester","ARHGEF26-AS1",0.48348696228192
0,1.22251210624101,0.881,0.493,0,"Third_trimester","CALN1",0.474334697221513
0,1.2352971713508,0.742,0.372,0,"Third_trimester","CD24",0.457059953399798
0,1.37909284694238,0.618,0.288,0,"Third_trimester","CXXC4",0.455100639490985
0,1.24680275975446,0.664,0.306,0,"Third_trimester","RASGRF2",0.446355387992098
0,1.95125908881689,0.301,0.076,0,"Third_trimester","TRIM67",0.439033294983801
0,1.06409043695811,0.868,0.482,0,"Third_trimester","GABRB1",0.410738908665829
0,1.24336798541293,0.781,0.455,0,"Third_trimester","STMN4",0.405337963244616
0,1.44186737389663,0.497,0.22,0,"Third_trimester","BHLHE22",0.399397262569368
0,1.03690022066615,0.886,0.501,0,"Third_trimester","MYO16",0.39920658495647
0,1.24780222197625,0.564,0.249,0,"Third_trimester","ADAMTSL3",0.393057699922518
